Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,10,Antarctica,ATA,02,Meat and edible meat offal,1,No Quantity,,,36568,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,24,Angola,AGO,02,Meat and edible meat offal,1,No Quantity,,,697647,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,28,Antigua and Barbuda,ATG,02,Meat and edible meat offal,1,No Quantity,,,97345,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,31,Azerbaijan,AZE,02,Meat and edible meat offal,1,No Quantity,,,4982,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,32,Argentina,ARG,02,Meat and edible meat offal,1,No Quantity,,,12859411,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,36,Australia,AUS,02,Meat and edible meat offal,1,No Quantity,,,126405184,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,36,Australia,AUS,02,Meat and edible meat offal,1,No Quantity,,,43922,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,40,Austria,AUT,02,Meat and edible meat offal,1,No Quantity,,,1192392,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,40,Austria,AUT,02,Meat and edible meat offal,1,No Quantity,,,6964149,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,44,Bahamas,BHS,02,Meat and edible meat offal,1,No Quantity,,,9662,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,48,Bahrain,BHR,02,Meat and edible meat offal,1,No Quantity,,,58131,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,51,Armenia,ARM,02,Meat and edible meat offal,1,No Quantity,,,69226,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,52,Barbados,BRB,02,Meat and edible meat offal,1,No Quantity,,,142605,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,56,Belgium,BEL,02,Meat and edible meat offal,1,No Quantity,,,173030833,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,56,Belgium,BEL,02,Meat and edible meat offal,1,No Quantity,,,113790537,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,60,Bermuda,BMU,02,Meat and edible meat offal,1,No Quantity,,,66022,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,76,Brazil,BRA,02,Meat and edible meat offal,1,No Quantity,,,141418870,0
